lead_col,target_col,lag_months,correlation,abs_correlation,observations
gscpi,price_zinc,4,0.7226112502748923,0.7226112502748923,152
gscpi,price_aluminum,4,0.7090204976518784,0.7090204976518784,152
gscpi,price_gold,5,0.7006961038528239,0.7006961038528239,151
gscpi,price_tin,2,0.6933509656179998,0.6933509656179998,154
gscpi,price_nickel,11,0.612481840861611,0.612481840861611,145
gscpi,price_copper,4,0.5803488369110266,0.5803488369110266,152
gscpi,price_iron_ore,12,0.4208016195428482,0.4208016195428482,144
gscpi,price_platinum,0,-0.2885933161970886,0.2885933161970886,156
gscpi,price_lead,3,0.23576909828251286,0.23576909828251286,153
gscpi,price_silver,11,0.20686011962319503,0.20686011962319503,145
